,company_logo,company_name,company_website
0,https://specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Apple,https://www.forbes.com/companies/apple/?list=powerful-brands
1,https://specials-images.forbesimg.com/imageserve/5b92924ba7ea434b99d5a09b/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Google,https://www.forbes.com/companies/google/?list=powerful-brands
2,https://specials-images.forbesimg.com/imageserve/5c13c8efa7ea4370591a59fa/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Microsoft,https://www.forbes.com/companies/microsoft/?list=powerful-brands
3,https://specials-images.forbesimg.com/imageserve/5d825aa26de3150009a4616c/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Amazon,https://www.forbes.com/companies/amazon/?list=powerful-brands
4,https://specials-images.forbesimg.com/imageserve/5cd1ab9ad606c400081eac42/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Facebook,https://www.forbes.com/companies/facebook/?list=powerful-brands
5,https://specials-images.forbesimg.com/imageserve/5cd1a8c8660f45000833182b/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Coca-Cola,https://www.forbes.com/companies/coca-cola/?list=powerful-brands
6,https://specials-images.forbesimg.com/imageserve/5cd486ab5218470008b0475a/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Samsung,https://www.forbes.com/companies/samsung-electronics/?list=powerful-brands
7,https://specials-images.forbesimg.com/imageserve/5b994d634bbe6f30c1b1ada1/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Disney,https://www.forbes.com/companies/walt-disney/?list=powerful-brands
8,https://specials-images.forbesimg.com/imageserve/5cd9d4dc169cc600095f24b9/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Toyota,https://www.forbes.com/companies/toyota-motor/?list=powerful-brands
9,https://specials-images.forbesimg.com/imageserve/5cd436d65ea6490008c7f4f5/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,McDonald's,https://www.forbes.com/companies/mcdonalds/?list=powerful-brands
10,https://specials-images.forbesimg.com/imageserve/5c13d425a7ea4370591a5bd0/200x200.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,AT&T,https://www.forbes.com/companies/att/?list=powerful-brands
